step,K,U,E
456,0.0004233890,-0.0376995612,-0.0372761722
457,0.0004252711,-0.0377015719,-0.0372763008
458,0.0004271575,-0.0377026603,-0.0372755028
459,0.0004290483,-0.0377055850,-0.0372765367
460,0.0004309435,-0.0377065045,-0.0372755610
461,0.0004328430,-0.0377087783,-0.0372759353
462,0.0004347469,-0.0377102856,-0.0372755387
463,0.0004366550,-0.0377113775,-0.0372747225
464,0.0004385676,-0.0377144277,-0.0372758601
465,0.0004404845,-0.0377157372,-0.0372752527
466,0.0004424058,-0.0377185084,-0.0372761025
467,0.0004443315,-0.0377198648,-0.0372755333
468,0.0004462616,-0.0377222166,-0.0372759551
469,0.0004481960,-0.0377242220,-0.0372760259
470,0.0004501348,-0.0377252854,-0.0372751506
471,0.0004520780,-0.0377281483,-0.0372760703
472,0.0004540256,-0.0377295360,-0.0372755104
473,0.0004559775,-0.0377326855,-0.0372767080
474,0.0004579339,-0.0377339752,-0.0372760413
475,0.0004598946,-0.0377351003,-0.0372752057
476,0.0004618597,-0.0377382428,-0.0372763831
477,0.0004638292,-0.0377393135,-0.0372754843
478,0.0004658031,-0.0377423517,-0.0372765487
479,0.0004677814,-0.0377434941,-0.0372757127
480,0.0004697641,-0.0377465015,-0.0372767374
481,0.0004717512,-0.0377478002,-0.0372760490
482,0.0004737427,-0.0377498401,-0.0372760974
483,0.0004757386,-0.0377517086,-0.0372759701
484,0.0004777388,-0.0377530551,-0.0372753163
485,0.0004797434,-0.0377559003,-0.0372761569
486,0.0004817524,-0.0377570171,-0.0372752647
487,0.0004837659,-0.0377602359,-0.0372764700
488,0.0004857837,-0.0377613045,-0.0372755208
489,0.0004878060,-0.0377643783,-0.0372765723
490,0.0004898327,-0.0377655103,-0.0372756776
491,0.0004918637,-0.0377670406,-0.0372751768
492,0.0004938992,-0.0377698152,-0.0372759160
493,0.0004959391,-0.0377710388,-0.0372750997
494,0.0004979834,-0.0377740444,-0.0372760610
495,0.0005000321,-0.0377755621,-0.0372755300
496,0.0005020853,-0.0377784294,-0.0372763442
497,0.0005041429,-0.0377795726,-0.0372754298
498,0.0005062049,-0.0377826606,-0.0372764557
499,0.0005082714,-0.0377842203,-0.0372759489
500,0.0005103422,-0.0377852745,-0.0372749324
501,0.0005124174,-0.0377882069,-0.0372757895
502,0.0005144971,-0.0377901133,-0.0372756162
503,0.0005165813,-0.0377930063,-0.0372764250
504,0.0005186699,-0.0377942468,-0.0372755769
505,0.0005207629,-0.0377972814,-0.0372765185
506,0.0005228604,-0.0377986223,-0.0372757619
507,0.0005249624,-0.0378016483,-0.0372766860
508,0.0005270687,-0.0378028069,-0.0372757382
509,0.0005291796,-0.0378061946,-0.0372770150
510,0.0005312949,-0.0378073811,-0.0372760862
511,0.0005334145,-0.0378094052,-0.0372759907
512,0.0005355387,-0.0378113167,-0.0372757781
513,0.0005376672,-0.0378128483,-0.0372751811
514,0.0005398002,-0.0378159312,-0.0372761310
515,0.0005419376,-0.0378171228,-0.0372751852
516,0.0005440795,-0.0378201517,-0.0372760722
517,0.0005462259,-0.0378214769,-0.0372752510
518,0.0005483767,-0.0378243575,-0.0372759808
519,0.0005505320,-0.0378256992,-0.0372751672
520,0.0005526917,-0.0378288897,-0.0372761979
521,0.0005548560,-0.0378300664,-0.0372752104
522,0.0005570246,-0.0378329597,-0.0372759351
523,0.0005591978,-0.0378347248,-0.0372755270
524,0.0005613755,-0.0378379731,-0.0372765976
525,0.0005635576,-0.0378396989,-0.0372761412
526,0.0005657443,-0.0378417385,-0.0372759943
527,0.0005679354,-0.0378441312,-0.0372761958
528,0.0005701309,-0.0378452743,-0.0372751435
529,0.0005723309,-0.0378482290,-0.0372758981
530,0.0005745353,-0.0378496310,-0.0372750956
531,0.0005767443,-0.0378527412,-0.0372759969
532,0.0005789577,-0.0378538603,-0.0372749026
533,0.0005811756,-0.0378568399,-0.0372756642
534,0.0005833980,-0.0378583784,-0.0372749804
535,0.0005856249,-0.0378613336,-0.0372757087
536,0.0005878563,-0.0378630844,-0.0372752281
537,0.0005900923,-0.0378663617,-0.0372762694
538,0.0005923327,-0.0378680847,-0.0372757520
539,0.0005945777,-0.0378709752,-0.0372763975
540,0.0005968271,-0.0378721370,-0.0372753099
541,0.0005990811,-0.0378753592,-0.0372762781
542,0.0006013395,-0.0378764339,-0.0372750944
543,0.0006036025,-0.0378795505,-0.0372759480
544,0.0006058699,-0.0378811289,-0.0372752590
545,0.0006081418,-0.0378840165,-0.0372758747
546,0.0006104183,-0.0378858770,-0.0372754587
547,0.0006126993,-0.0378893550,-0.0372766556
548,0.0006149849,-0.0378908811,-0.0372758962
549,0.0006172750,-0.0378938307,-0.0372765557
550,0.0006195696,-0.0378950484,-0.0372754788
551,0.0006218687,-0.0378980800,-0.0372762113
552,0.0006241723,-0.0378994260,-0.0372752537
553,0.0006264804,-0.0379025395,-0.0372760591
554,0.0006287931,-0.0379044178,-0.0372756247
